"Species","Category","LMR","MaxMass..mg.","mSeed..mg.","Dist..m.","Gmax","Memo..weeks.","SLA.comb.","Palat","Clonal","meanSpacerLength..cm.","sdSpacerLength..cm.","Resshare","Note","STE_I1","ANA_I1","BLS_I1","ALP_I1","ATL_I1","BOR_I1","CON_I1","PAN_I1","MED_I1","MAC_I1"
"Galium verrucosum","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Geranium dissectum","Non-crop",0.5,1000,1,0.1,60,2,0.273492505717432,NA,"0","0","0","0","",0,0,0,1,1,0,1,0,0,0
"Geranium molle","Non-crop",0.5,1000,1,0.1,20,6,0.278415672555,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,1
"Geranium purpureum","Non-crop",0.5,1000,1,0.1,60,2,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Geranium pusillum","Non-crop",0.5,1000,1,0.1,60,2,0.230645454545455,0.25,"0","0","0","0","",0,0,0,1,0,0,1,1,0,0
"Geranium sanguineum","Non-crop",0.5,1000,1,0.1,60,2,0.482444004236667,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Gladiolus italicus","Non-crop",0.5,2000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Glebionis segetum","Non-crop",0.5,1000,1,0.1,60,2,0.399893666666667,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,1,1
"Gnaphalium uliginosum","Non-crop",0.5,1000,0.1,0.6,40,4,0.35912275,NA,"0","0","0","0","",0,0,0,1,1,1,1,0,0,0
"Gypsophila muralis","Non-crop",0.5,1000,0.1,0.6,20,6,3.4637,NA,"0","0","0","0","",0,0,0,0,0,1,0,1,0,0
"Gypsophila tenuifolia","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Helianthemum aegyptiacum","Non-crop",0.5,1000,0.3,0.3,40,4,0.088396875847,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Helianthemum canum","Non-crop",0.5,1000,1,0.1,60,2,0.110475,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Helianthemum nummularium","Non-crop",0.5,1000,1,0.1,60,2,0.164105470854082,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Heliotropium europaeum","Non-crop",0.5,1000,1,0.1,60,2,0.5,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Helminthotheca echioides","Non-crop",1,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Herniaria hirsuta","Non-crop",0.5,1000,0.3,0.3,40,4,0.2266,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Hibiscus trionum","Non-crop",0.5,1000,1,0.1,40,4,0.144128842361723,NA,"0","0","0","0","",1,0,1,0,0,0,0,1,0,0
"Holcus lanatus","Non-crop",0.5,2000,0.3,0.3,60,2,0.254680171483486,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Holosteum umbellatum","Non-crop",1,1000,0.1,0.6,20,6,1.08116,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,1,0
"Hordeum murinum"," ",0.5,1000,1,0.1,20,6,0.234914715125918,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,1
"Hordeum vulgare","Crop",0.5,2000,1,0.1,60,2,0.3525,1,"0","0","0","0","",0,0,0,1,0,1,0,1,1,0
"Huperzia selago","Non-crop",0.5,1000,0.1,0.6,60,2,0.145293947086667,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Hypecoum imberbe","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Hypecoum pendulum","Non-crop",1,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Hypericum androsaemum","Non-crop",0.5,2000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Hypericum elegans","Non-crop",0.5,1000,0.1,0.6,60,2,0.5,0.25,"1","17.5","17.5","1","",0,0,1,0,0,0,0,0,0,0
"Hypericum thymifolium","Non-crop",0.5,1000,0.3,0.3,NA,NA,NA,0.25,"","","","","Middle east",0,1,0,0,0,0,0,0,0,0
"Inula britannica","Non-crop",0.5,1000,0.1,0.6,60,2,0.180050554497508,NA,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Juncus bufonius aggr.","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,1,1,1,0,0,0
"Kickxia elatine","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,1,0,0
"Kickxia spuria","Non-crop",0.75,1000,0.3,0.3,40,4,0.3435,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Knautia arvensis","Non-crop",1,2000,1,0.1,60,2,0.180727241655892,1,"1","17.5","17.5","1","",0,0,1,0,0,0,0,0,0,0
"Lactuca serriola","Crop",0.5,2000,0.3,0.3,60,2,0.239524221851111,1,"0","0","0","0","",1,0,0,1,0,0,1,1,1,0
"Lactuca viminea","Crop",1,1000,1,0.1,60,2,0.5,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Lamium amplexicaule","Non-crop",0.5,1000,0.3,0.3,40,4,0.318390909090909,1,"0","0","0","0","",1,0,0,1,1,0,1,1,1,1
"Lamium purpureum","Non-crop",0.5,1000,0.3,0.3,40,4,0.485642251633333,0.25,"0","0","0","0","",1,0,0,1,1,1,1,1,0,1
"Lapsana communis","Non-crop",0.5,2000,1,0.1,60,2,0.4227064797125,NA,"0","0","0","0","",0,0,0,1,1,1,1,0,0,1
"Lathyrus aphaca","Non-crop",0.5,1000,1,0.1,20,6,0.4148935775,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Lathyrus cicera","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Lathyrus nissolia","Non-crop",0.5,2000,1,0.1,60,2,0.1988,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Lathyrus tuberosus","Non-crop",0.5,2000,1,0.1,60,2,0.214191666666667,NA,"1","17.5","17.5","1","",1,0,1,1,0,0,1,1,0,0
"Legousia speculum-veneris","Non-crop",0.5,1000,0.1,0.6,40,4,0.75,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Leontodon saxatilis","Non-crop",1,1000,0.3,0.3,60,2,0.5,NA,"1","2.5","2.5","1","",0,0,0,0,0,0,0,0,0,1
"Leopoldia comosa","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Lepidium didymum","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Lepidium draba","Non-crop",0.5,2000,1,0.1,60,2,0.5,NA,"0","0","0","0","",1,0,1,0,0,0,0,1,0,0
"Leucanthemum vulgare aggr.","Non-crop",1,2000,0.3,0.3,40,4,0.5,NA,"1","2.5","2.5","1","",0,0,0,0,0,1,0,0,0,0
"Linaria genistifolia","Non-crop",0.5,2000,0.1,0.6,60,2,0.5,0.25,"1","17.5","17.5","1","",0,0,1,0,0,0,0,0,0,0
"Linaria vulgaris","Non-crop",0.5,2000,0.1,0.6,60,2,0.370962072562632,0.25,"0","0","0","0","",0,0,1,1,0,0,0,1,0,0
"Linum austriacum","Non-crop",0.5,1000,1,0.1,60,2,0.137872727272727,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Lipandra polysperma","Non-crop",0.5,2000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,1,0,1,1,0,0
"Lolium perenne","Crop",0.5,1000,1,0.1,60,2,0.204504491853743,1,"0","0","0","0","",0,0,0,0,1,0,1,1,0,0
"Lolium rigidum","Crop",0.5,1000,1,0.1,60,2,0.268214899383333,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Lolium temulentum","Crop",0.5,2000,1,0.1,60,2,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Lotus corniculatus","Non-crop",0.5,1000,1,0.1,60,2,0.244257004518918,NA,"0","0","0","0","",1,0,1,0,0,0,0,0,0,0
"Lycopsis arvensis","Non-crop",1,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,1,1,0,0,0
"Lythrum virgatum","Non-crop",0.5,2000,0.1,0.6,40,4,0.11511,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Malva unguiculata","Non-crop",0.5,5000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Marrubium vulgare","Non-crop",0.5,1000,1,0.1,60,2,0.0858660881172449,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Matricaria chamomilla","Non-crop",0.5,1000,0.1,0.6,40,4,0.3162938,1,"0","0","0","0","",0,0,0,0,1,0,1,1,0,0
"Matricaria discoidea","Non-crop",1,1000,0.1,0.6,40,4,0.38294425,NA,"0","0","0","0","",0,0,0,1,1,1,1,0,0,0
"Medicago lupulina","Crop",0.5,1000,1,0.1,60,2,0.27506362365203,1,"0","0","0","0","",0,0,0,1,1,1,1,1,1,0
"Medicago minima","Crop",0.5,1000,1,0.1,20,6,0.225235185185185,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Medicago monspeliaca","Crop",0.5,1000,0.3,0.3,40,4,0.144956965977059,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Medicago polymorpha aggr.","Crop",0.5,1000,1,0.1,40,4,0.5,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Medicago sativa","Crop",0.5,2000,1,0.1,20,6,0.226343969599222,1,"0","0","0","0","",1,0,1,1,0,0,0,0,1,0
"Melilotus officinalis","Non-crop",0.5,5000,1,0.1,60,2,0.200346749322768,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Mentha arvensis","Crop",0.5,1000,0.3,0.3,60,2,0.367833741497143,0.25,"0","0","0","0","",0,0,1,1,1,1,1,0,0,0
"Mercurialis annua","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,1,0,0,1,1,1
"Mesembryanthemum nodiflorum","Non-crop",0.5,1000,0.3,0.3,20,6,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Microrrhinum minus","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,0,0,0,1,0,0
"Misopates orontium","Non-crop",0.5,1000,0.1,0.6,20,6,0.208665,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Moenchia erecta","Non-crop",0.5,1000,0.1,0.6,20,6,0.31054635208,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Myosotis arvensis","Non-crop",1,1000,0.3,0.3,40,4,0.364451764705882,0.25,"0","0","0","0","",0,0,0,1,1,1,1,1,0,1
"Myosotis sicula","Non-crop",1,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
"Myosotis stricta","Non-crop",1,1000,0.1,0.6,20,6,0.15041,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Neslia paniculata","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,0,0,0,0,1,0
"Nigella arvensis","Non-crop",0.5,1000,1,0.1,20,6,0.156812956967587,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Nigella damascena","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Ochlopoa annua","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,1,1,1,1,1,1
"Odontites vulgaris aggr.","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Oxalis corniculata","Non-crop",0.5,1000,0.1,0.6,60,2,0.524598524173181,0.5,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Oxalis debilis","Non-crop",0.5,1000,0.1,0.6,40,4,0.80592,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Oxalis latifolia","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Oxalis pes-caprae","Non-crop",1,1000,0.1,0.6,40,4,0.4815950020025,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Oxalis stricta","Non-crop",0.5,1000,0.1,0.6,40,4,0.543719357366295,NA,"0","0","0","0","",0,0,0,1,0,0,1,1,0,0
"Papaver argemone","Non-crop",0.5,1000,0.1,0.6,40,4,0.2904,NA,"0","0","0","0","",0,1,0,0,0,0,1,0,1,0
"Papaver dubium aggr.","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,0.25,"0","0","0","0","",1,1,0,0,1,0,0,0,0,0
"Papaver hybridum","Non-crop",0.5,1000,0.1,0.6,60,2,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Papaver lasiothrix","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Papaver rhoeas","Non-crop",0.5,1000,0.3,0.3,60,2,0.269429508917802,0.25,"0","0","0","0","",0,0,0,1,1,0,1,1,1,1
"Papaver somniferum","Non-crop",0.5,2000,0.3,0.3,60,2,0.2872,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Parietaria judaica","Non-crop",0.5,1000,0.3,0.3,60,2,0.3553,0.25,"1","2.5","2.5","1","",0,0,0,0,0,0,0,0,0,1
"Paspalum dilatatum","Non-crop",1,2000,1,0.1,60,2,0.231525383423407,NA,"1","2.5","2.5","1","",0,0,0,0,0,0,0,0,0,1
"Persicaria amphibia","Non-crop",0.5,1000,1,0.1,60,2,0.194207265475,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,0
"Persicaria hydropiper","Non-crop",0.5,2000,1,0.1,60,2,0.35661053235,0.25,"0","0","0","0","",0,0,0,1,1,0,1,0,0,0
"Persicaria lapathifolia","Non-crop",0.5,2000,1,0.1,60,2,0.284771018345385,NA,"0","0","0","0","",1,0,0,1,1,1,1,1,0,0
"Persicaria maculosa","Non-crop",0.5,2000,1,0.1,60,2,0.211,NA,"0","0","0","0","",0,0,0,1,1,1,1,1,0,1
"Petrorhagia dubia","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Phleum pratense","Non-crop",0.5,2000,0.3,0.3,60,2,0.230671909211992,NA,"0","0","0","0","",0,0,1,0,0,1,0,0,0,0
"Pistacia atlantica","Non-crop",0.5,5000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Pistacia terebinthus","Non-crop",0.5,5000,1,0.1,60,2,0.134002596563802,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Plantago lanceolata","Non-crop",1,1000,1,0.1,60,2,0.203206105594832,1,"1","2.5","2.5","1","",1,0,1,1,1,0,1,0,0,0
"Plantago major","Non-crop",1,1000,0.3,0.3,60,2,0.211916429501197,1,"1","2.5","2.5","1","",1,0,0,1,1,1,1,1,0,0
"Poa bulbosa","Non-crop",0.5,1000,0.3,0.3,60,2,0.315960554599583,1,"1","2.5","2.5","1","",1,0,1,0,0,0,0,0,0,0
"Poa pratensis aggr.","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,1,"1","2.5","2.5","1","",1,0,1,1,0,1,1,0,0,0
"Poa trivialis","Non-crop",0.5,2000,0.1,0.6,60,2,0.287450765260622,NA,"1","2.5","2.5","1","",0,0,0,0,1,0,0,1,0,0
"Polycarpon tetraphyllum","Non-crop",0.5,1000,0.1,0.6,20,6,1.026072,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Polygonum arenarium","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Polygonum aviculare aggr.","Non-crop",0.5,1000,1,0.1,40,4,0.5,1,"0","0","0","0","",1,0,1,1,1,1,1,1,1,0
"Polygonum equisetiforme","Non-crop",0.5,1000,1,0.1,40,4,0.1112922463,NA,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Polypodium vulgare","Non-crop",0.5,1000,1,0.1,60,2,0.138405140664409,NA,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Polypogon monspeliensis","Non-crop",0.5,1000,0.1,0.6,40,4,0.21054,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Polypogon viridis","Non-crop",0.5,1000,0.1,0.6,40,4,0.47218,NA,"1","2.5","2.5","1","",0,0,0,0,0,0,0,0,0,1
"Potentilla argentea","Non-crop",1,1000,0.1,0.6,60,2,0.179392887689412,0.25,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Potentilla reptans","Non-crop",0.5,1000,0.3,0.3,60,2,0.232375963398524,0.25,"1","17.5","17.5","1","",0,0,0,0,0,0,0,0,1,0
"Ranunculus arvensis","Non-crop",0.5,1000,1,0.1,40,4,0.281083333333333,0.25,"0","0","0","0","",0,0,0,1,0,0,1,1,1,0
"Ranunculus flammula","Non-crop",1,1000,0.3,0.3,60,2,0.19725,0.25,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Ranunculus peltatus","Non-crop",0.5,2000,0.3,0.3,60,2,0.436916666675,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Ranunculus repens","Non-crop",1,1000,1,0.1,60,2,0.186074434088745,0.25,"1","2.5","2.5","1","",0,0,0,1,1,1,1,0,0,0
"Ranunculus sardous","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Raphanus raphanistrum","Non-crop",0.5,1000,1,0.1,60,2,0.265896359466667,1,"0","0","0","0","",0,1,0,1,1,1,1,1,1,1
"Rapistrum rugosum","Non-crop",0.5,2000,1,0.1,60,2,0.253802526577778,1,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Reseda lutea","Non-crop",0.5,1000,1,0.1,60,2,0.160092137504169,0.25,"0","0","0","0","",1,0,0,0,0,0,0,1,0,0
"Reseda phyteuma","Non-crop",0.5,1000,1,0.1,20,6,0.266844382765882,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Roemeria hybrida","Non-crop",1,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Rorippa amphibia","Non-crop",0.5,2000,1,0.1,60,2,0.1408,NA,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Rorippa austriaca","Non-crop",1,2000,0.1,0.6,60,2,0.5,NA,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Rorippa palustris","Non-crop",1,1000,0.1,0.6,60,2,0.5,NA,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
"Rorippa sylvestris","Non-crop",1,1000,0.1,0.6,60,2,0.32425,1,"1","2.5","2.5","1","",0,0,0,1,0,0,1,0,0,0
"Rumex acetosella","Non-crop",0.75,1000,0.3,0.3,60,2,0.285041759187822,0.25,"1","17.5","17.5","1","",0,0,0,1,1,1,1,0,0,0
"Rumex crispus","Non-crop",0.5,2000,1,0.1,60,2,0.206781023983889,1,"0","0","0","0","",1,0,0,1,1,1,1,1,1,0
"Rumex obtusifolius","Non-crop",0.5,5000,1,0.1,60,2,0.347170637722519,NA,"0","0","0","0","",0,0,0,1,1,0,1,0,0,1
"Sagina apetala","Non-crop",0.5,1000,0.1,0.6,20,6,0.1568,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Sagina maritima","Non-crop",0.5,1000,0.1,0.6,20,6,0.1429,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Sagina procumbens","Non-crop",1,1000,0.1,0.6,60,2,0.20352,NA,"1","2.5","2.5","1","",0,0,0,0,0,1,0,0,0,0
"Salsola kali aggr.","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",1,0,1,0,0,0,0,0,0,0
"Salvia argentea","Non-crop",1,2000,1,0.1,40,4,0.0820213434274786,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Salvia pratensis","Non-crop",1,2000,1,0.1,60,2,0.186721875,NA,"1","17.5","17.5","1","",0,0,1,0,0,0,0,0,0,0
"Satureja coerulea","Non-crop",0.5,1000,0.3,0.3,NA,NA,NA,NA,"","","","","Turkey",0,0,1,0,0,0,0,0,0,0
"Scandix pecten-veneris aggr.","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,1
"Scleranthus annuus","Non-crop",0.5,1000,1,0.1,40,4,0.1313359,NA,"0","0","0","0","",0,1,0,1,1,1,1,1,0,0
"Secale cereale","Non-crop",0.5,5000,1,0.1,40,4,0.320110212179996,1,"0","0","0","0","",0,0,0,1,1,1,1,1,0,0
"Securigera varia","Non-crop",0.5,2000,1,0.1,60,2,0.25639810427,NA,"1","2.5","2.5","1","",1,0,1,0,0,0,0,0,0,0
"Senecio leucanthemifolius","Non-crop",0.5,1000,0.1,0.6,20,6,0.5,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Senecio vulgaris","Non-crop",0.5,1000,0.3,0.3,40,4,0.328877825872051,NA,"0","0","0","0","",0,0,0,1,1,0,1,1,1,1
"Setaria pumila","Non-crop",0.5,1000,1,0.1,40,4,0.27777777778,1,"0","0","0","0","",1,0,1,1,0,1,1,1,0,0
"Setaria verticillata","Non-crop",0.5,2000,1,0.1,60,2,0.4865,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Setaria viridis","Non-crop",0.5,2000,1,0.1,20,6,0.305480161494721,1,"0","0","0","0","",1,0,1,1,0,1,1,1,0,0
"Sherardia arvensis","Non-crop",0.5,1000,1,0.1,20,6,0.211355403566667,NA,"0","0","0","0","",0,0,0,1,0,0,0,0,1,1
"Silene apetala","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Silene baccifera","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Silene gallica","Non-crop",0.5,1000,0.3,0.3,20,6,0.174726460391304,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Silene latifolia","Non-crop",0.5,2000,1,0.1,60,2,0.2275965346305,NA,"0","0","0","0","",0,0,0,1,0,1,1,1,0,0
"Silene noctiflora","Non-crop",0.5,1000,1,0.1,40,4,0.2184,NA,"0","0","0","0","",0,0,0,1,0,0,1,1,0,0
"Silene vulgaris","Non-crop",0.5,1000,1,0.1,60,2,0.207902930526183,0.25,"0","0","0","0","",0,0,0,1,0,0,0,0,1,0
"Sinapis alba","Non-crop",0.5,2000,1,0.1,60,2,0.22603681578708,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Sinapis arvensis","Non-crop",0.5,2000,1,0.1,60,2,0.5252599332625,NA,"0","0","0","0","",1,0,1,1,1,1,1,1,1,0
"Solanum alatum","Crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Solanum nigrum","Crop",0.5,1000,1,0.1,20,6,0.278666666666667,0.25,"0","0","0","0","",1,0,1,1,1,0,0,1,0,1
"Solanum tuberosum","Crop",0.5,2000,1,0.1,60,2,0.2291,0.25,"0","0","0","0","",0,0,0,1,0,0,1,0,0,0
"Sonchus arvensis","Non-crop",0.75,2000,0.3,0.3,60,2,0.222402008374727,0.25,"1","17.5","17.5","1","",1,0,0,1,1,1,1,1,0,0
"Sonchus asper","Non-crop",1,2000,0.3,0.3,60,2,0.369367456330097,0.5,"0","0","0","0","",0,0,0,1,1,0,1,1,1,1
"Sonchus oleraceus","Non-crop",0.5,2000,0.3,0.3,60,2,0.314897353524059,1,"0","0","0","0","",1,0,0,1,1,0,1,1,1,1
"Sorghum halepense","Crop",0.5,2000,1,0.1,60,2,0.185384689964163,1,"1","2.5","2.5","1","",1,0,1,0,0,0,0,0,0,0
"Spergula arvensis","Non-crop",0.5,1000,0.3,0.3,20,6,0.157989376142444,1,"0","0","0","0","",0,0,0,1,1,1,1,0,0,1
"Spergula pentandra","Non-crop",0.5,1000,0.1,0.6,20,6,0.34986357639,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Spergularia rubra","Non-crop",0.5,1000,0.1,0.6,20,6,0.171407923325041,NA,"0","0","0","0","",0,1,0,0,0,1,0,0,0,0
"Stachys annua","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",1,0,1,0,0,0,0,1,0,0
"Stachys arvensis","Non-crop",0.5,1000,1,0.1,20,6,0.3013,NA,"0","0","0","0","",0,0,0,0,1,0,0,0,0,1
"Stachys palustris","Non-crop",0.5,2000,1,0.1,60,2,0.351634457966667,NA,"1","17.5","17.5","1","",0,0,0,1,0,1,1,0,0,0
"Stellaria graminea","Non-crop",0.5,1000,0.3,0.3,60,2,0.158810924295268,NA,"1","2.5","2.5","1","",0,0,0,1,0,1,0,0,0,0
"Stellaria media","Non-crop",0.5,1000,0.3,0.3,60,2,0.54731624450381,1,"0","0","0","0","",1,0,0,1,1,1,1,1,1,1
"Stipa capillata","Non-crop",0.5,2000,1,0.1,60,2,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Symphytum officinale","Non-crop",0.5,2000,1,0.1,60,2,0.297861828,NA,"0","0","0","0","",0,0,0,1,0,0,0,0,0,0
"Taeniatherum caput-medusae","Non-crop",0.5,1000,1,0.1,20,6,0.28811,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Taraxacum sect. Taraxacum","Non-crop",1,1000,0.3,0.3,40,4,0.5,0.5,"0","0","0","0","",1,0,1,1,1,1,1,1,0,0
"Taraxacum serotinum","Non-crop",1,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Teucrium chamaedrys","Non-crop",0.5,1000,1,0.1,60,2,0.127951332802459,0.25,"1","2.5","2.5","1","",0,0,1,0,0,0,0,0,0,0
"Thelypteris palustris","Non-crop",0.5,2000,1,0.1,60,2,0.374654658385714,NA,"1","17.5","17.5","1","",0,1,0,0,0,0,0,0,0,0
"Thlaspi arvense","Non-crop",1,1000,1,0.1,40,4,0.19852956778769,0.25,"0","0","0","0","",1,0,0,1,1,1,1,1,0,0
"Thymelaea passerina","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Tragopogon pratensis","Non-crop",0.5,2000,1,0.1,60,2,0.175060260978339,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Tribulus terrestris","Non-crop",0.5,1000,1,0.1,40,4,0.184498224990352,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Trifolium arvense","Non-crop",0.5,1000,0.3,0.3,20,6,0.178295594464091,NA,"0","0","0","0","",0,0,0,0,0,1,0,1,0,0
